Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гайдамака,Аврелій,Ааронович,Чоловік,27-10-1970,Археолог,місто Обухів,"площа Проценка, буд. 48 кв. 072, Угнів, 72910",335 19 63,bohdanna52@example.net
Байда,Руслан,Борисович,Чоловік,16-09-1938,Дерун,селище Бориспіль,"проспект Сінна, буд. 75 кв. 3, Погребище, 15818",+380 15 317-20-05,aleksandrenkozorian@example.com
Голобородько,Роман,Єфремович,Чоловік,05-12-1966,Державний службовець,село Миргород,"вулиця Обсерваторний, буд. 6 кв. 977, Пустомити, 30816",093 010 97 72,iarynahavrylyshyn@example.org
Абрагамовський,Борис,Азарович,Чоловік,22-04-1974,Електромонтажник,село Обухів,"площа Бессарабська, буд. 9 кв. 489, Немирів, 20267",+380 (40) 103-98-91,oleh49@example.com
Лукаш,Святослав,Геннадійович,Чоловік,28-09-1941,Складальник,село Дрогобич,"набережна Кондренка, буд. 4 кв. 5, Гола Пристань, 54764",+380 12 786-94-58,valeriiverkhovynets@example.org
Михалюк,Дан,Устимович,Чоловік,10-05-2005,Менеджер,хутір Зугрес,"вулиця Чорноморського козацтва, буд. 481 кв. 595, Луганськ, 67919",090 295-99-12,vitalii55@example.com
Масляк,Нестор,Андрійович,Чоловік,02-04-1989,Гінеколог,місто Білозерське,"парк Леонтовича, буд. 41, Бурштин , 97825",044 340 74 42,ekozak@example.org
Приймак,Геннадій,Захарович,Чоловік,12-01-1953,Льотчик,місто Ямпіль,"парк Чапаєва 2-й, буд. 6 кв. 4, Вознесенівка, 34204",+380 32 423-36-69,valentyn49@example.net
Кармалюк,Панас,Антонович,Чоловік,27-08-1992,Кінолог,селище Рахів,"шосе Юхима Геллера, буд. 76, Світлодарськ, 44929",687-71-73,oles68@example.net
Скопенко,Августин,Ігнатович,Чоловік,10-05-1957,Гірник,місто Верхньодніпровськ,"проспект Східний, буд. 00, Самбір, 93336",053 124 58 69,maleksiuk@example.org
Чабан,Григорій,Омелянович,Чоловік,01-10-1979,Кінолог,селище Новоукраїнка,"узвіз Аркадіївський, буд. 1, Єнакієве, 10623",+380 12 498-20-34,zharkoteodor@example.com
Чередник,Трохим,Семенович,Чоловік,05-09-2000,Астрофізик,хутір Стебник,"проспект Амурська, буд. 55, Гола Пристань, 18228",088 401-88-87,olhasliusar@example.org
Носенко,Ярема,Аркадійович,Чоловік,21-01-1940,Реабілітолог,село Боярка,"площа Кільцева, буд. 492, Мерефа, 09063",078 052-31-25,oberemkoamaliia@example.org
Демиденко,Борис,Макарович,Чоловік,01-12-1951,Краєзнавець,місто Виноградів,"сквер Павлова, буд. 49 кв. 543, Бердичів, 71234",+380 69 182 02 90,tetiana85@example.org
Масляк,Давид,Тарасович,Чоловік,05-11-1955,Кінокритик,хутір Коростишів,"провулок Гімназична, буд. 979, Підгайці, 51039",026 871 97 31,albinateslenko@example.net
Затовканюк,Онисим,Глібович,Чоловік,22-04-1971,Кур'єр,селище Сулимівка (Слов'янськ),"площа Пісочна, буд. 660 кв. 3, Кам'янка (Черкаська область), 45925",+380 68 366 72 16,odarka38@example.com
Гоголь,Леонтій,Адамович,Чоловік,06-05-1995,Палеонтолог,місто Корець,"узвіз Аеропортівський 4-й, буд. 850 кв. 04, Гірник , 83906",559 75 46,ivandatsenko@example.org
Рудько,Ярослав,Вадимович,Чоловік,15-07-1998,Художник,село Сєвєродонецьк,"шосе Луганська, буд. 8, Шпола, 24402",+380 09 823-34-36,pderhach@example.net
Івасюк,Олекса,Олексович,Чоловік,03-08-1984,Стоматолог,місто Новодністровськ,"площа Василя Кандинського 2-й, буд. 3 кв. 414, Новомиргород, 88669",033 130-15-01,iaryna92@example.com
Чаленко,Ярослав,Олесьович,Чоловік,07-09-1966,Клавішник,селище Новий Калинів,"площа Водопровідний 3-й, буд. 3, Борислав, 66720",+380 24 717-55-13,teodor62@example.com
Ірванець,Гордій,Омелянович,Чоловік,20-11-1949,Акушер,хутір Харків,"вулиця Дачний, буд. 87, Підгородне, 08251",+380 69 354-76-71,oles17@example.com
Ґерус,Веніямин,Леонтійович,Чоловік,05-06-1963,Дизайнер,селище Новоазовськ,"провулок Рівності, буд. 4, Винники, 45317",091 836-73-77,tymofii09@example.org
Архимович,Франц,Пантелеймонович,Чоловік,13-01-1997,Науковець,селище Гайворон,"сквер Князівська, буд. 3 кв. 286, Алчевськ, 45376",277 88 58,ada86@example.com
Батюк,Нестор,Богданович,Чоловік,09-01-1978,Краєзнавець,селище Снігурівка,"шосе Могилівська, буд. 08 кв. 396, Добропілля, 96668",940 48 40,zynovii00@example.org
Бабариченко,Юхим,Юхимович,Чоловік,24-05-1942,Круп'є,селище Комарно,"парк Миколи Вороного, буд. 4 кв. 523, Шахтарськ, 85503",+380 61 741 96 35,ideriazhnyi@example.com
Воблий,Альберт,Вікторович,Чоловік,17-09-1964,Астроном,хутір Рівне,"проспект 10-та Лінія Марії Демченко, буд. 72, Кагарлик, 61303",+380 (58) 153-82-47,sviatoslav92@example.org
Чумаченко,Лесь,Макарович,Чоловік,24-06-1980,Мінералог,місто Українка ,"парк Академіка Глушка, буд. 02, Алупка, 73624",+380 51 542-36-89,etymchuk@example.net
Чумак,Андрій,Михайлович,Чоловік,26-03-1946,Парфюмер,хутір Єнакієве,"шосе Лінійний, буд. 016 кв. 5, Рудки, 19258",030 671-34-03,baklanzynovii@example.net
Гайденко,Климент,Ігорович,Чоловік,06-09-1980,Краєзнавець,село Хмельницький,"узвіз Каманіна, буд. 849, Славута, 48170",+380 28 086-89-84,vsavenko@example.net
Чаленко,Леонтій,Леопольдович,Чоловік,17-04-1960,Промисловець,місто Болград,"вулиця Місячна, буд. 8, Жидачів, 93911",026 052 90 86,kylymnykvira@example.org
Венгринович,Нестор,Азарович,Чоловік,21-05-1996,Фрілансер,місто Снятин,"сквер Зоопаркова, буд. 73 кв. 472, Дніпро , 85238",750 63 28,piefymenko@example.net
Ємець,Степан,Несторович,Чоловік,20-08-1958,Палеонтолог,хутір Умань,"шосе Грузинська, буд. 2, Остер , 48304",+380 (68) 538-21-64,varvarazhuchenko@example.com
Таран,Іван,Богуславович,Чоловік,13-05-1972,Конструктор,село Дебальцеве,"вулиця Рівності 2-й, буд. 813 кв. 111, Костянтинівка, 48782",051 965-70-67,rkharchenko@example.com
Колісниченко,Мартин,Артемович,Чоловік,04-06-2004,Кухар,селище Старокостянтинів,"вулиця Флотський 2-й, буд. 46 кв. 713, Вільногірськ, 43116",018 140-44-32,vderiazhnyi@example.com
Ґжицький,Петро,Михайлович,Чоловік,12-06-1991,Державний службовець,село Новий Буг,"проспект Ф. Пішеніна, буд. 0, Овруч, 95810",+380 (02) 084-10-07,npavlenko@example.net
Онуфрієнко,Зорян,Євгенійович,Чоловік,10-11-1946,Штукатур,місто Голубівка,"набережна Академіка Воробйова, буд. 7, Богодухів, 68060",+380 35 702 05 17,zhuchenkohennadii@example.com
Салій,Антон,Лукʼянович,Чоловік,11-06-2004,Скульптор,місто Вилкове,"вулиця Кільцева, буд. 87, Хрестівка, 22333",535 50 62,viacheslav16@example.com
Гузій,Остап,Данилович,Чоловік,19-06-1973,Гірник,хутір Дубровиця,"парк Світлий, буд. 2, Харків, 88948",+380 (92) 589-28-02,yzaiets@example.com
Яремчук,Климент,Арсенович,Чоловік,15-07-1974,Штукатур,хутір Макіївка,"провулок Сєрогодського, буд. 06, Кам'янка-Бузька, 02118",242-89-85,omelianlevchenko@example.org
Редько,Гордій,Устимович,Чоловік,10-10-1999,Хімік,хутір Запоріжжя,"набережна Наявний 1-й, буд. 13 кв. 311, Пирятин, 53947",+380 (56) 273-87-58,anzhelazhadan@example.net
